Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-8.0	29.142336	47.0	-101.0	26.88108	-0.61249214	0.55805945	1.04884	-2.8374085	5000	-1.2803078e-08	380.1469	-0.019656485	-95.058075	0.55058587	0.0030324876	0.05	79.0	5.660739421844482
1	-7.0695186	25.295694	49.0	-70.0	26.73262	-4.010074	7.3599505	13.018125	-31.335257	10000	1.039505e-08	265.21606	-0.024179727	-73.622345	0.50854045	0.0072665038	0.0746	79.0	11.30518627166748
2	-4.962766	27.51177	74.0	-62.0	26.542553	-3.211782	8.505267	22.763031	-31.393925	15000	-3.9100647e-09	272.11456	-0.022758203	-63.81494	0.5063738	0.0037733207	0.062	79.0	16.503556728363037
3	-3.1595745	26.911123	51.0	-86.0	26.547873	-2.3291488	9.741758	27.104847	-32.619328	20000	1.1444092e-09	250.7071	-0.025371987	-71.96509	0.496071	0.008764943	0.0912	79.0	21.889018535614014
4	-1.989418	25.785233	57.0	-83.0	26.412699	-1.6259626	10.387253	29.019274	-45.31907	25000	1.1730194e-08	265.08215	-0.02981154	-79.853485	0.47014883	0.006054658	0.0948	79.0	26.782259464263916
5	-5.951872	25.563025	48.0	-84.0	26.636364	-2.8069441	9.534922	23.319601	-32.624237	30000	-8.9645384e-09	265.35333	-0.029358225	-72.76271	0.45836776	0.008806883	0.0976	79.0	32.25038290023804
6	-3.5215054	27.55058	62.0	-83.0	26.784946	-2.2462459	8.919373	25.895325	-39.195465	35000	2.670288e-09	276.86646	-0.030489702	-84.85921	0.46138027	0.007866257	0.0808	79.0	37.26061677932739
7	-3.4408603	28.009392	90.0	-70.0	26.85484	-1.3963709	9.85501	27.226448	-42.920334	40000	8.392334e-09	268.29984	-0.032330018	-82.439835	0.4438125	0.007957117	0.0944	79.0	42.309913873672485
8	-2.6540542	24.94988	63.0	-65.0	26.98919	-1.5488119	10.552818	40.961567	-37.318985	45000	-1.2874604e-09	238.5975	-0.032078005	-74.89786	0.42363173	0.007820177	0.1076	79.0	47.75387501716614
9	-4.5080214	26.997202	53.0	-101.0	26.647058	-1.3611834	9.35556	27.996641	-40.335052	50000	4.768372e-10	252.14928	-0.032758076	-65.76547	0.42866388	0.00660052	0.109	79.0	53.14318895339966
10	-4.227027	25.712387	67.0	-55.0	26.962162	-0.807423	10.109617	27.665354	-34.451687	55000	-4.005432e-09	240.4491	-0.03254617	-70.418915	0.414275	0.012542371	0.1022	79.0	58.49893927574158
11	-5.032258	28.457836	72.0	-93.0	26.849463	-2.9319117	9.998367	33.744194	-41.48979	60000	7.6293943e-10	301.84534	-0.030914344	-97.162704	0.39525735	0.006240199	0.0872	79.0	64.12908101081848
12	-3.3529413	23.720825	60.0	-65.0	26.71123	-1.772002	9.859956	26.622997	-36.078148	65000	7.915497e-09	216.555	-0.033608682	-70.575516	0.40595368	0.006318275	0.1102	79.0	69.5634183883667
13	-0.22340426	28.500711	75.0	-96.0	26.542553	-1.4008505	9.2480135	31.58942	-39.857925	70000	5.722046e-10	263.3209	-0.031129673	-70.60957	0.3941103	0.008727675	0.0966	79.0	74.45992636680603
14	-2.6333334	26.25302	60.0	-83.0	27.755556	0.036654834	10.36052	32.562893	-50.527588	75000	-4.7683715e-09	255.13585	-0.029940879	-83.686615	0.38322154	0.0075473376	0.0908	79.0	79.53121995925903
15	-4.7789474	24.096376	61.0	-59.0	26.278948	-1.6117314	9.78902	41.673378	-35.06275	80000	8.773804e-09	221.1948	-0.033879157	-66.276886	0.36969078	0.009304159	0.112	79.0	84.52517247200012
16	-2.1666667	26.541895	50.0	-102.0	26.020834	-1.1695713	9.6440735	29.396461	-38.14192	85000	4.577637e-09	223.19785	-0.03427131	-61.65799	0.38219482	0.0077426885	0.1058	79.0	89.76778602600098
17	-1.521978	25.936886	69.0	-71.0	27.395605	-1.1326543	10.612443	33.56542	-53.260704	90000	9.536743e-11	240.3061	-0.036162384	-72.21767	0.34763283	0.01149648	0.1042	79.0	94.86423754692078
18	-5.773481	26.444323	55.0	-94.0	27.491713	-1.1468962	10.575297	34.219288	-45.95298	95000	4.863739e-09	263.72272	-0.033530705	-90.8145	0.3484842	0.005635716	0.0886	79.0	99.92588829994202
19	-4.180851	25.206999	57.0	-79.0	26.547873	-1.0900134	8.478485	31.58416	-29.156757	100000	3.4332275e-09	231.4616	-0.031214103	-63.982513	0.33608893	0.009055964	0.092	79.0	105.43913316726685
20	-1.4918919	25.79799	70.0	-58.0	26.98919	-0.92775226	10.069662	39.30832	-40.58182	105000	1.5449524e-08	217.5425	-0.03140092	-67.283905	0.30947813	0.00926234	0.0932	79.0	111.1609411239624
21	-2.5104167	26.019222	53.0	-86.0	25.96875	-0.6136623	9.227784	32.363422	-37.9122	110000	4.005432e-09	231.3807	-0.028425721	-71.74434	0.32251444	0.0056392825	0.0972	79.0	116.87746787071228
22	-2.9468086	24.408258	76.0	-83.0	26.585106	-0.6600687	9.75304	33.929287	-43.314198	115000	-7.629395e-09	211.39645	-0.031250596	-72.91174	0.3027066	0.0076334863	0.0944	79.0	122.3641414642334
23	-1.0806452	24.599346	58.0	-72.0	26.817204	-1.5648566	10.392405	42.313538	-53.088432	120000	-1.0824204e-08	233.0822	-0.029722322	-94.83847	0.2843384	0.0059038056	0.0958	79.0	127.98435139656067
24	-5.111732	26.753767	60.0	-88.0	27.927374	0.5392109	10.372388	37.18897	-50.60036	125000	-1.6355514e-08	251.90448	-0.03120233	-90.934616	0.28192285	0.010315032	0.09	79.0	133.37733674049377
25	-4.4972377	27.39997	86.0	-75.0	27.62431	-2.78327	10.369038	28.237862	-50.552322	130000	8.106232e-09	238.73738	-0.03187175	-77.26662	0.28714013	0.008882329	0.103	79.0	139.2336618900299
26	-7.5824175	24.838629	39.0	-101.0	27.373627	-1.8654155	10.209718	32.928116	-37.932484	135000	2.4795532e-09	238.1612	-0.03181072	-82.62482	0.27101597	0.012356304	0.1012	79.0	144.91929984092712
27	-1.1129032	24.837822	53.0	-72.0	26.833334	-2.4669805	9.104569	34.47426	-47.71679	140000	9.155274e-09	225.84302	-0.03149019	-68.72691	0.2853617	0.007940534	0.1046	79.0	150.7490644454956
28	-0.036649216	24.728975	59.0	-97.0	26.17801	-0.6027912	9.293461	36.478035	-46.316334	145000	1.335144e-09	221.3387	-0.029902373	-57.63353	0.28814995	0.0069390535	0.0958	79.0	156.44559359550476
29	-2.080645	23.72669	47.0	-96.0	26.768818	-0.32312262	9.491239	28.49132	-41.676388	150000	1.4686584e-08	200.6062	-0.031695627	-59.653732	0.2865112	0.0108983135	0.1128	79.0	162.28971338272095
30	-3.326203	23.900764	47.0	-71.0	26.66845	-0.8336223	9.027972	32.468315	-32.087498	155000	-1.1920929e-08	180.12718	-0.027562203	-46.60309	0.26382536	0.007968515	0.0896	79.0	168.17634916305542
31	-3.4408603	25.959631	72.0	-78.0	26.860214	-0.90957373	9.186207	43.491295	-30.60704	160000	-1.6403199e-08	223.6007	-0.028291082	-65.60069	0.25751078	0.008545084	0.0966	79.0	174.11636757850647
32	0.7419355	23.95915	50.0	-60.0	26.774193	-0.62680835	10.205615	40.55418	-37.094578	165000	-4.005432e-09	221.145	-0.030840207	-73.616486	0.2590093	0.012510419	0.098	79.0	179.92287611961365
33	-3.216931	24.244577	49.0	-68.0	26.386244	0.6229897	9.597972	34.160297	-32.83886	170000	3.1471252e-09	181.41174	-0.03197467	-50.460464	0.26040497	0.010694528	0.1064	79.0	185.76056432724
34	-0.6388889	22.781513	52.0	-59.0	27.76111	-0.8210475	9.827159	35.850136	-38.233356	175000	0.0	210.4189	-0.031307247	-74.81096	0.2533023	0.008700459	0.0952	79.0	191.4862096309662
35	-1.7923497	26.312344	60.0	-86.0	27.245901	-0.6134703	9.090619	37.262337	-43.67377	180000	8.869171e-09	238.5765	-0.03216284	-79.70686	0.25759897	0.009021868	0.0952	79.0	197.21194458007812
36	-4.782123	25.503258	72.0	-73.0	27.88268	-0.6116299	10.674445	40.94763	-64.25599	185000	-3.0517577e-09	227.45465	-0.029178493	-76.24928	0.2601966	0.010264035	0.088	79.0	202.7681586742401
